,Datum
1197,2021-10-08
1198,2021-10-11
1199,2021-10-12
1200,2021-10-13
1201,2021-10-14
1202,2021-10-15
1203,2021-10-18
1204,2021-10-19
1205,2021-10-20
1206,2021-10-21
1207,2021-10-22
1208,2021-10-25
1209,2021-10-26
1210,2021-10-27
1211,2021-10-29
1212,2021-11-01
1213,2021-11-02
1214,2021-11-03
1215,2021-11-04
1216,2021-11-05
1217,2021-11-08
1218,2021-11-09
1219,2021-11-10
1220,2021-11-11
1221,2021-11-12
1222,2021-11-15
1223,2021-11-16
1224,2021-11-18
1225,2021-11-19
1226,2021-11-22
1227,2021-11-23
1228,2021-11-24
1229,2021-11-25
1230,2021-11-26
1231,2021-11-29
1232,2021-11-30
1233,2021-12-01
1234,2021-12-02
1235,2021-12-03
1236,2021-12-06
1237,2021-12-07
1238,2021-12-08
1239,2021-12-09
1240,2021-12-10
1241,2021-12-13
1242,2021-12-14
1243,2021-12-15
1244,2021-12-16
1245,2021-12-17
1246,2021-12-20
1247,2021-12-21
1248,2021-12-22
1249,2021-12-23
1250,2021-12-27
1251,2021-12-28
1252,2021-12-29
1253,2021-12-30
1254,2021-12-31
1255,2022-01-03
1256,2022-01-04
1257,2022-01-05
1258,2022-01-06
1259,2022-01-07
1260,2022-01-10
1261,2022-01-11
1262,2022-01-12
1263,2022-01-13
1264,2022-01-14
1265,2022-01-17
1266,2022-01-18
1267,2022-01-19
1268,2022-01-20
1269,2022-01-21
1270,2022-01-24
1271,2022-01-25
1272,2022-01-26
1273,2022-01-27
1274,2022-01-28
1275,2022-01-31
1276,2022-02-01
1277,2022-02-02
1278,2022-02-03
1279,2022-02-04
1280,2022-02-07
1281,2022-02-08
1282,2022-02-09
1283,2022-02-10
1284,2022-02-11
1285,2022-02-14
1286,2022-02-15
1287,2022-02-16
1288,2022-02-17
1289,2022-02-18
1290,2022-02-21
1291,2022-02-22
1292,2022-02-23
1293,2022-02-24
1294,2022-02-25
1295,2022-02-28
1296,2022-03-01
1297,2022-03-02
1298,2022-03-03
1299,2022-03-04
1300,2022-03-07
1301,2022-03-08
1302,2022-03-09
1303,2022-03-10
1304,2022-03-11
1305,2022-03-14
1306,2022-03-15
1307,2022-03-16
1308,2022-03-17
1309,2022-03-18
1310,2022-03-21
1311,2022-03-22
1312,2022-03-23
1313,2022-03-24
1314,2022-03-25
1315,2022-03-28
1316,2022-03-29
1317,2022-03-30
1318,2022-03-31
1319,2022-04-01
1320,2022-04-04
1321,2022-04-05
1322,2022-04-06
1323,2022-04-07
1324,2022-04-08
1325,2022-04-11
1326,2022-04-12
1327,2022-04-13
1328,2022-04-14
1329,2022-04-19
1330,2022-04-20
1331,2022-04-21
1332,2022-04-22
1333,2022-04-25
1334,2022-04-26
1335,2022-04-27
1336,2022-04-28
1337,2022-04-29
1338,2022-05-02
1339,2022-05-03
1340,2022-05-04
1341,2022-05-05
1342,2022-05-06
1343,2022-05-09
1344,2022-05-10
1345,2022-05-11
1346,2022-05-12
1347,2022-05-13
1348,2022-05-16
1349,2022-05-17
1350,2022-05-18
1351,2022-05-19
1352,2022-05-20
1353,2022-05-23
1354,2022-05-24
1355,2022-05-25
1356,2022-05-26
1357,2022-05-27
1358,2022-05-30
1359,2022-05-31
1360,2022-06-01
1361,2022-06-02
1362,2022-06-03
1363,2022-06-06
1364,2022-06-07
1365,2022-06-08
1366,2022-06-09
1367,2022-06-10
1368,2022-06-13
1369,2022-06-14
1370,2022-06-15
1371,2022-06-16
1372,2022-06-17
1373,2022-06-20
1374,2022-06-21
1375,2022-06-22
1376,2022-06-23
1377,2022-06-24
1378,2022-06-27
1379,2022-06-28
1380,2022-06-29
1381,2022-06-30
1382,2022-07-01
1383,2022-07-04
1384,2022-07-07
1385,2022-07-08
1386,2022-07-11
1387,2022-07-12
1388,2022-07-13
1389,2022-07-14
1390,2022-07-15
1391,2022-07-18
1392,2022-07-19
1393,2022-07-20
1394,2022-07-21
1395,2022-07-22
1396,2022-07-25
1397,2022-07-26
1398,2022-07-27
1399,2022-07-28
1400,2022-07-29
1401,2022-08-01
1402,2022-08-02
1403,2022-08-03
1404,2022-08-04
1405,2022-08-05
1406,2022-08-08
1407,2022-08-09
1408,2022-08-10
1409,2022-08-11
1410,2022-08-12
1411,2022-08-15
1412,2022-08-16
1413,2022-08-17
1414,2022-08-18
1415,2022-08-19
1416,2022-08-22
1417,2022-08-23
1418,2022-08-24
1419,2022-08-25
1420,2022-08-26
1421,2022-08-29
1422,2022-08-30
1423,2022-08-31
1424,2022-09-01
1425,2022-09-02
1426,2022-09-05
1427,2022-09-06
1428,2022-09-07
1429,2022-09-08
1430,2022-09-09
1431,2022-09-12
1432,2022-09-13
1433,2022-09-14
1434,2022-09-15
